Date,EVCount,AvgElectricRange
2015-09-28,147,163.2188679
2015-10-05,143,163.890566
2015-10-12,132,164.5622642
2015-10-19,135,165.2339623
2015-10-26,140,165.9056604
2015-11-02,95,166.5773585
2015-11-09,149,167.2490566
2015-11-16,134,167.9207547
2015-11-23,70,168.5924528
2015-11-30,129,169.2641509
2015-12-07,177,169.9358491
2015-12-14,118,170.6075472
2015-12-21,96,171.2792453
2015-12-28,127,171.9509434
2016-01-04,125,172.6226415
2016-01-11,139,173.2943396
2016-01-18,178,173.9660377
2016-01-25,134,174.6377358
2016-02-01,122,175.309434
2016-02-08,129,175.9811321
2016-02-15,118,176.6528302
2016-02-22,100,177.3245283
2016-02-29,131,177.9962264
2016-03-07,146,178.6679245
2016-03-14,107,179.3396226
2016-03-21,149,180.0113208
2016-03-28,131,180.6830189
2016-04-04,173,181.354717
2016-04-11,150,182.0264151
2016-04-18,171,182.6981132
2016-04-25,168,183.3698113
2016-05-02,162,184.0415094
2016-05-09,126,184.7132075
2016-05-16,164,185.3849057
2016-05-23,134,186.0566038
2016-05-30,129,186.7283019
2016-06-06,154,187.4
2016-06-13,178,187.9057692
2016-06-20,181,188.4115385
2016-06-27,200,188.9173077
2016-07-04,139,189.4230769
2016-07-11,194,189.9288462
2016-07-18,182,190.4346154
2016-07-25,206,190.9403846
2016-08-01,243,191.4461538
2016-08-08,163,191.9519231
2016-08-15,219,192.4576923
2016-08-22,208,192.9634615
2016-08-29,144,193.4692308
2016-09-05,181,193.975
2016-09-12,216,194.4807692
2016-09-19,206,194.9865385
2016-09-26,192,195.4923077
2016-10-03,278,195.9980769
2016-10-10,198,196.5038462
2016-10-17,310,197.0096154
2016-10-24,231,197.5153846
2016-10-31,198,198.0211538
2016-11-07,159,198.5269231
2016-11-14,225,199.0326923
2016-11-21,132,199.5384615
2016-11-28,172,200.0442308
2016-12-05,276,200.55
2016-12-12,130,201.0557692
2016-12-19,212,201.5615385
2016-12-26,199,202.0673077
2017-01-02,260,202.5730769
2017-01-09,194,203.0788462
2017-01-16,267,203.5846154
2017-01-23,229,204.0903846
2017-01-30,348,204.5961538
2017-02-06,235,205.1019231
2017-02-13,247,205.6076923
2017-02-20,216,206.1134615
2017-02-27,227,206.6192308
2017-03-06,285,207.125
2017-03-13,223,207.6307692
2017-03-20,200,208.1365385
2017-03-27,272,208.6423077
2017-04-03,267,209.1480769
2017-04-10,313,209.6538462
2017-04-17,249,210.1596154
2017-04-24,240,210.6653846
2017-05-01,271,211.1711538
2017-05-08,263,211.6769231
2017-05-15,221,212.1826923
2017-05-22,270,212.6884615
2017-05-29,185,213.1942308
2017-06-05,228,213.7
2017-06-12,292,214.6192308
2017-06-19,197,215.5384615
2017-06-26,267,216.4576923
2017-07-03,200,217.3769231
2017-07-10,295,218.2961538
2017-07-17,225,219.2153846
2017-07-24,195,220.1346154
2017-07-31,218,221.0538462
2017-08-07,207,221.9730769
2017-08-14,188,222.8923077
2017-08-21,212,223.8115385
2017-08-28,225,224.7307692
2017-09-04,198,225.65
2017-09-11,233,226.5692308
2017-09-18,353,227.4884615
2017-09-25,245,228.4076923
2017-10-02,340,229.3269231
2017-10-09,251,230.2461538
2017-10-16,235,231.1653846
2017-10-23,229,232.0846154
2017-10-30,191,233.0038462
2017-11-06,198,233.9230769
2017-11-13,248,234.8423077
2017-11-20,143,235.7615385
2017-11-27,268,236.6807692
2017-12-04,220,237.6
2017-12-11,241,238.5192308
2017-12-18,208,239.4384615
2017-12-25,170,240.3576923
2018-01-01,257,241.2769231
2018-01-08,351,242.1961538
2018-01-15,254,243.1153846
2018-01-22,273,244.0346154
2018-01-29,244,244.9538462
2018-02-05,211,245.8730769
2018-02-12,191,246.7923077
2018-02-19,195,247.7115385
2018-02-26,210,248.6307692
2018-03-05,185,249.55
2018-03-12,276,250.4692308
2018-03-19,308,251.3884615
2018-03-26,360,252.3076923
2018-04-02,304,253.2269231
2018-04-09,359,254.1461538
2018-04-16,320,255.0653846
2018-04-23,257,255.9846154
2018-04-30,293,256.9038462
2018-05-07,360,257.8230769
2018-05-14,339,258.7423077
2018-05-21,408,259.6615385
2018-05-28,371,260.5807692
2018-06-04,467,261.5
2018-06-11,376,261.4557692
2018-06-18,356,261.4115385
2018-06-25,325,261.3673077
2018-07-02,251,261.3230769
2018-07-09,355,261.2788462
2018-07-16,311,261.2346154
2018-07-23,343,261.1903846
2018-07-30,313,261.1461538
2018-08-06,303,261.1019231
2018-08-13,284,261.0576923
2018-08-20,284,261.0134615
